,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215
0,"(-73.99918, 40.74472)","(-73.99898, 40.74463)","(-73.99898, 40.74463)","(-73.99873, 40.74497)","(-73.99848, 40.7453)","(-73.99801, 40.74595)","(-73.9978, 40.74623)","(-73.99755, 40.74658)","(-73.9971, 40.7472)","(-73.99665, 40.74782)","(-73.9962, 40.74843)","(-73.99575, 40.74905)","(-73.9953, 40.74967)","(-73.99505, 40.75001)","(-73.99485, 40.75028)","(-73.99436, 40.75094)","(-73.99418, 40.7512)","(-73.99395, 40.75151)","(-73.99365, 40.75193)","(-73.99356, 40.75205)","(-73.99345, 40.75219)","(-73.99336, 40.75231)","(-73.99304, 40.75276)","(-73.99298, 40.75286)","(-73.99253, 40.75347)","(-73.99208, 40.75409)","(-73.99163, 40.75471)","(-73.99118, 40.75533)","(-73.99072, 40.75595)","(-73.99028, 40.75657)","(-73.98979, 40.75723)","(-73.9893, 40.75791)","(-73.98914, 40.75813)","(-73.98884, 40.75854)","(-73.98838, 40.75916)","(-73.98793, 40.75979)","(-73.98746, 40.76041)","(-73.98702, 40.76104)","(-73.98656, 40.76166)","(-73.98611, 40.76229)","(-73.98565, 40.76292)","(-73.98519, 40.76354)","(-73.98474, 40.76417)","(-73.98429, 40.7648)","(-73.98399, 40.7652)","(-73.98382, 40.76542)","(-73.98337, 40.76605)","(-73.98337, 40.76605)","(-73.98203, 40.76549)","(-73.98171, 40.76534)","(-73.98054, 40.76485)","(-73.97946, 40.7644)","(-73.9777, 40.76365)","(-73.97753, 40.76359)","(-73.97662, 40.76321)","(-73.97479, 40.76244)","(-73.97446, 40.7623)","(-73.97343, 40.76187)","(-73.97289, 40.76164)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"(-74.01017, 40.71296)","(-74.011, 40.71334)","(-74.01122, 40.71344)","(-74.01146, 40.71355)","(-74.01167, 40.71365)","(-74.01169, 40.71367)","(-74.01173, 40.71369)","(-74.01237, 40.71396)","(-74.01276, 40.71413)","(-74.01282, 40.71415)","(-74.01289, 40.71419)","(-74.01343, 40.71444)","(-74.01343, 40.71444)","(-74.01338, 40.71456)","(-74.01334, 40.71469)","(-74.01324, 40.71512)","(-74.01321, 40.71522)","(-74.01321, 40.71522)","(-74.01354, 40.71528)","(-74.01369, 40.71531)","(-74.01369, 40.71531)","(-74.01364, 40.71542)","(-74.01339, 40.71643)","(-74.01336, 40.71658)","(-74.01317, 40.71731)","(-74.01314, 40.71744)","(-74.01313, 40.71749)","(-74.01296, 40.71821)","(-74.01287, 40.71855)","(-74.01284, 40.71864)","(-74.01281, 40.71872)","(-74.01277, 40.71895)","(-74.01274, 40.71907)","(-74.01272, 40.71919)","(-74.01269, 40.7193)","(-74.01267, 40.71937)","(-74.01266, 40.71948)","(-74.01265, 40.71959)","(-74.01264, 40.71963)","(-74.01263, 40.71968)","(-74.01248, 40.72024)","(-74.01242, 40.72048)","(-74.01241, 40.72052)","(-74.01241, 40.72056)","(-74.0124, 40.7206)","(-74.01239, 40.72064)","(-74.01238, 40.7207)","(-74.01236, 40.72076)","(-74.01235, 40.72083)","(-74.01234, 40.72087)","(-74.01232, 40.72098)","(-74.01231, 40.721)","(-74.0123, 40.72102)","(-74.01228, 40.72104)","(-74.01227, 40.72105)","(-74.01226, 40.72107)","(-74.01225, 40.72109)","(-74.01224, 40.72111)","(-74.01224, 40.72112)","(-74.012, 40.72225)","(-74.01197, 40.72245)","(-74.01188, 40.72291)","(-74.0117, 40.72376)","(-74.01161, 40.72423)","(-74.01157, 40.72441)","(-74.01145, 40.72511)","(-74.01139, 40.72539)","(-74.01136, 40.7256)","(-74.01133, 40.72576)","(-74.01133, 40.72583)","(-74.01133, 40.72591)","(-74.01132, 40.72602)","(-74.01131, 40.72613)","(-74.01127, 40.72636)","(-74.0111, 40.72766)","(-74.011, 40.72821)","(-74.01096, 40.72867)","(-74.01096, 40.72872)","(-74.01096, 40.72875)","(-74.01096, 40.72878)","(-74.01096, 40.72882)","(-74.01097, 40.72885)","(-74.01097, 40.72888)","(-74.01097, 40.72892)","(-74.01095, 40.72917)","(-74.01094, 40.72926)","(-74.01092, 40.72944)","(-74.01092, 40.72948)","(-74.01091, 40.72951)","(-74.0109, 40.72955)","(-74.01089, 40.72958)","(-74.01087, 40.72961)","(-74.01087, 40.72965)","(-74.01086, 40.72968)","(-74.01086, 40.72971)","(-74.01086, 40.72975)","(-74.01086, 40.72975)","(-74.01082, 40.72975)","(-74.01077, 40.72974)","(-74.01072, 40.72974)","(-74.0105, 40.72973)","(-74.01037, 40.72972)","(-74.01035, 40.72986)","(-74.01035, 40.72986)","(-74.00933, 40.72975)","(-74.00923, 40.72974)","(-74.00909, 40.72972)","(-74.00839, 40.72964)","(-74.00696, 40.72951)","(-74.00696, 40.72951)","(-74.00684, 40.73024)","(-74.00672, 40.73095)","(-74.00661, 40.73168)","(-74.00656, 40.732)","(-74.00648, 40.73243)","(-74.00642, 40.73306)","(-74.00632, 40.73372)","(-74.00623, 40.73436)","(-74.0062, 40.73444)","(-74.00618, 40.73451)","(-74.00609, 40.73513)","(-74.00599, 40.73576)","(-74.00598, 40.73584)","(-74.00597, 40.73592)","(-74.00591, 40.73624)","(-74.00587, 40.73643)","(-74.00586, 40.73649)","(-74.00583, 40.73656)","(-74.00581, 40.73661)","(-74.00577, 40.73667)","(-74.00573, 40.73671)","(-74.0057, 40.73675)","(-74.00562, 40.73682)","(-74.0056, 40.73684)","(-74.00556, 40.73687)","(-74.00556, 40.73687)","(-74.00544, 40.73698)","(-74.00481, 40.73755)","(-74.00458, 40.73776)","(-74.00415, 40.73813)","(-74.00407, 40.73821)","(-74.00397, 40.73829)","(-74.00373, 40.7385)","(-74.00345, 40.73876)","(-74.0031, 40.73906)","(-74.0028, 40.73937)","(-74.00253, 40.73974)","(-74.00224, 40.74015)","(-74.00202, 40.74044)","(-74.00191, 40.74059)","(-74.00156, 40.74107)","(-74.00133, 40.74139)","(-74.00113, 40.74166)","(-74.0007, 40.74225)","(-74.00049, 40.74254)","(-74.00028, 40.74284)","(-73.99984, 40.74342)","(-73.99963, 40.74373)","(-73.99942, 40.74401)","(-73.99898, 40.74463)","(-73.99873, 40.74497)","(-73.99848, 40.7453)","(-73.99801, 40.74595)","(-73.9978, 40.74623)","(-73.99755, 40.74658)","(-73.9971, 40.7472)","(-73.99665, 40.74782)","(-73.9962, 40.74843)","(-73.99575, 40.74905)","(-73.9953, 40.74967)","(-73.99505, 40.75001)","(-73.99485, 40.75028)","(-73.99436, 40.75094)","(-73.99418, 40.7512)","(-73.99395, 40.75151)","(-73.99365, 40.75193)","(-73.99356, 40.75205)","(-73.99345, 40.75219)","(-73.99336, 40.75231)","(-73.99304, 40.75276)","(-73.99298, 40.75286)","(-73.99253, 40.75347)","(-73.99208, 40.75409)","(-73.99163, 40.75471)","(-73.99118, 40.75533)","(-73.99072, 40.75595)","(-73.99028, 40.75657)","(-73.98979, 40.75723)","(-73.9893, 40.75791)","(-73.98914, 40.75813)","(-73.98884, 40.75854)","(-73.98838, 40.75916)","(-73.98793, 40.75979)","(-73.98746, 40.76041)","(-73.98702, 40.76104)","(-73.98656, 40.76166)","(-73.98611, 40.76229)","(-73.98565, 40.76292)","(-73.98519, 40.76354)","(-73.98474, 40.76417)","(-73.98429, 40.7648)","(-73.98399, 40.7652)","(-73.98382, 40.76542)","(-73.98337, 40.76605)","(-73.98337, 40.76605)","(-73.98203, 40.76549)","(-73.98171, 40.76534)","(-73.98054, 40.76485)","(-73.97946, 40.7644)","(-73.9777, 40.76365)","(-73.97753, 40.76359)","(-73.97662, 40.76321)","(-73.97479, 40.76244)","(-73.97446, 40.7623)","(-73.97343, 40.76187)","(-73.97289, 40.76164)"
2,"(-73.9909, 40.75024)","(-73.9911, 40.75033)","(-73.99175, 40.75058)","(-73.992, 40.75069)","(-73.99212, 40.75074)","(-73.99332, 40.75124)","(-73.99344, 40.75129)","(-73.99371, 40.75141)","(-73.99395, 40.75151)","(-73.99395, 40.75151)","(-73.99365, 40.75193)","(-73.99356, 40.75205)","(-73.99345, 40.75219)","(-73.99336, 40.75231)","(-73.99304, 40.75276)","(-73.99298, 40.75286)","(-73.99253, 40.75347)","(-73.99208, 40.75409)","(-73.99163, 40.75471)","(-73.99118, 40.75533)","(-73.99072, 40.75595)","(-73.99028, 40.75657)","(-73.98979, 40.75723)","(-73.9893, 40.75791)","(-73.98914, 40.75813)","(-73.98884, 40.75854)","(-73.98838, 40.75916)","(-73.98793, 40.75979)","(-73.98746, 40.76041)","(-73.98702, 40.76104)","(-73.98656, 40.76166)","(-73.98611, 40.76229)","(-73.98565, 40.76292)","(-73.98519, 40.76354)","(-73.98474, 40.76417)","(-73.98429, 40.7648)","(-73.98399, 40.7652)","(-73.98382, 40.76542)","(-73.98337, 40.76605)","(-73.98337, 40.76605)","(-73.98203, 40.76549)","(-73.98171, 40.76534)","(-73.98054, 40.76485)","(-73.97946, 40.7644)","(-73.9777, 40.76365)","(-73.97753, 40.76359)","(-73.97662, 40.76321)","(-73.97479, 40.76244)","(-73.97446, 40.7623)","(-73.97343, 40.76187)","(-73.97289, 40.76164)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"(-73.98053, 40.73381)","(-73.98059, 40.73372)","(-73.98059, 40.73372)","(-73.98076, 40.73382)","(-73.98076, 40.73382)","(-73.98065, 40.73397)","(-73.98057, 40.73409)","(-73.98033, 40.73441)","(-73.97999, 40.73487)","(-73.97989, 40.735)","(-73.97973, 40.73522)","(-73.97962, 40.73536)","(-73.97947, 40.73559)","(-73.97902, 40.73621)","(-73.97895, 40.73631)","(-73.97853, 40.73688)","(-73.97831, 40.7372)","(-73.97805, 40.73754)","(-73.97783, 40.73784)","(-73.9776, 40.73816)","(-73.97741, 40.73843)","(-73.97716, 40.73878)","(-73.9767, 40.7394)","(-73.97646, 40.73972)","(-73.97625, 40.74002)","(-73.97614, 40.74015)","(-73.97605, 40.74028)","(-73.9758, 40.74063)","(-73.97534, 40.74127)","(-73.97524, 40.7414)","(-73.97435, 40.74264)","(-73.97401, 40.74309)","(-73.97387, 40.7433)","(-73.97352, 40.74379)","(-73.97323, 40.7442)","(-73.97303, 40.74446)","(-73.97275, 40.74484)","(-73.97257, 40.74508)","(-73.97241, 40.74531)","(-73.97214, 40.74568)","(-73.97185, 40.74607)","(-73.97168, 40.74631)","(-73.97147, 40.7466)","(-73.97123, 40.74693)","(-73.97086, 40.74744)","(-73.97078, 40.74755)","(-73.97072, 40.74763)","(-73.97055, 40.74797)","(-73.97052, 40.74809)","(-73.97047, 40.74818)","(-73.97043, 40.74824)","(-73.9704, 40.74829)","(-73.97008, 40.74872)","(-73.97004, 40.74877)","(-73.97001, 40.7488)","(-73.96999, 40.74883)","(-73.96996, 40.74885)","(-73.96992, 40.74889)","(-73.96978, 40.74901)","(-73.96974, 40.74905)","(-73.9697, 40.7491)","(-73.96967, 40.74912)","(-73.96964, 40.74916)","(-73.96959, 40.74921)","(-73.96955, 40.74926)","(-73.96946, 40.74938)","(-73.96937, 40.7495)","(-73.96933, 40.74956)","(-73.96919, 40.74969)","(-73.96889, 40.75011)","(-73.96855, 40.75058)","(-73.96842, 40.75075)","(-73.96798, 40.75136)","(-73.96793, 40.75142)","(-73.96793, 40.75142)","(-73.96788, 40.75154)","(-73.96783, 40.75161)","(-73.96781, 40.75166)","(-73.96779, 40.7517)","(-73.96777, 40.75175)","(-73.96768, 40.752)","(-73.96766, 40.75204)","(-73.96765, 40.75206)","(-73.96764, 40.75209)","(-73.96724, 40.75264)","(-73.96722, 40.75268)","(-73.96719, 40.75271)","(-73.96718, 40.75272)","(-73.96715, 40.75274)","(-73.96712, 40.75276)","(-73.96709, 40.75278)","(-73.96707, 40.75279)","(-73.96705, 40.75281)","(-73.96703, 40.75283)","(-73.967, 40.75286)","(-73.96683, 40.75309)","(-73.96673, 40.7532)","(-73.96667, 40.75328)","(-73.96662, 40.75335)","(-73.96653, 40.75347)","(-73.96649, 40.7535)","(-73.96642, 40.75353)","(-73.96615, 40.75388)","(-73.96569, 40.7545)","(-73.96524, 40.75513)","(-73.96505, 40.7554)","(-73.96479, 40.75575)","(-73.96433, 40.75639)","(-73.96387, 40.75701)","(-73.96387, 40.75701)","(-73.96624, 40.758)","(-73.96804, 40.75876)","(-73.9683, 40.75889)","(-73.9685, 40.75897)","(-73.96864, 40.75904)","(-73.96993, 40.75959)","(-73.97009, 40.75963)","(-73.97117, 40.7601)","(-73.9716, 40.76028)","(-73.97179, 40.76035)","(-73.97335, 40.76102)","(-73.97335, 40.76102)","(-73.97291, 40.76162)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"(-73.9672, 40.76101)","(-73.96707, 40.76095)","(-73.96689, 40.76085)","(-73.96664, 40.76074)","(-73.96505, 40.76007)","(-73.96481, 40.75997)","(-73.96481, 40.75997)","(-73.96502, 40.75968)","(-73.96529, 40.75931)","(-73.96579, 40.75863)","(-73.96624, 40.758)","(-73.96624, 40.758)","(-73.96804, 40.75876)","(-73.9683, 40.75889)","(-73.9685, 40.75897)","(-73.96864, 40.75904)","(-73.96993, 40.75959)","(-73.97009, 40.75963)","(-73.97117, 40.7601)","(-73.9716, 40.76028)","(-73.97179, 40.76035)","(-73.97335, 40.76102)","(-73.97335, 40.76102)","(-73.97291, 40.76162)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"(-73.98701, 40.73411)","(-73.98829, 40.73463)","(-73.98829, 40.73463)","(-73.98782, 40.73528)","(-73.9874, 40.73588)","(-73.98697, 40.73645)","(-73.98655, 40.73703)","(-73.98609, 40.73761)","(-73.98609, 40.73761)","(-73.9854, 40.73731)","(-73.9854, 40.73731)","(-73.98497, 40.73791)","(-73.98497, 40.73791)","(-73.98567, 40.73821)","(-73.98641, 40.73853)","(-73.98688, 40.73872)","(-73.98727, 40.73887)","(-73.98737, 40.73892)","(-73.98956, 40.73985)","(-73.98969, 40.73991)","(-73.99053, 40.74025)","(-73.99374, 40.74161)","(-73.99551, 40.74237)","(-73.99658, 40.74282)","(-73.99942, 40.74401)","(-73.99942, 40.74401)","(-73.99898, 40.74463)","(-73.99873, 40.74497)","(-73.99848, 40.7453)","(-73.99801, 40.74595)","(-73.9978, 40.74623)","(-73.99755, 40.74658)","(-73.9971, 40.7472)","(-73.99665, 40.74782)","(-73.9962, 40.74843)","(-73.99575, 40.74905)","(-73.9953, 40.74967)","(-73.99505, 40.75001)","(-73.99485, 40.75028)","(-73.99436, 40.75094)","(-73.99418, 40.7512)","(-73.99395, 40.75151)","(-73.99365, 40.75193)","(-73.99356, 40.75205)","(-73.99345, 40.75219)","(-73.99336, 40.75231)","(-73.99304, 40.75276)","(-73.99298, 40.75286)","(-73.99253, 40.75347)","(-73.99208, 40.75409)","(-73.99163, 40.75471)","(-73.99118, 40.75533)","(-73.99072, 40.75595)","(-73.99028, 40.75657)","(-73.98979, 40.75723)","(-73.9893, 40.75791)","(-73.98914, 40.75813)","(-73.98884, 40.75854)","(-73.98838, 40.75916)","(-73.98793, 40.75979)","(-73.98746, 40.76041)","(-73.98702, 40.76104)","(-73.98656, 40.76166)","(-73.98611, 40.76229)","(-73.98565, 40.76292)","(-73.98519, 40.76354)","(-73.98474, 40.76417)","(-73.98429, 40.7648)","(-73.98399, 40.7652)","(-73.98382, 40.76542)","(-73.98337, 40.76605)","(-73.98337, 40.76605)","(-73.98203, 40.76549)","(-73.98171, 40.76534)","(-73.98054, 40.76485)","(-73.97946, 40.7644)","(-73.9777, 40.76365)","(-73.97753, 40.76359)","(-73.97662, 40.76321)","(-73.97479, 40.76244)","(-73.97446, 40.7623)","(-73.97343, 40.76187)","(-73.97289, 40.76164)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"(-73.98701, 40.73411)","(-73.98829, 40.73463)","(-73.98829, 40.73463)","(-73.98782, 40.73528)","(-73.9874, 40.73588)","(-73.98697, 40.73645)","(-73.98655, 40.73703)","(-73.98609, 40.73761)","(-73.98609, 40.73761)","(-73.9854, 40.73731)","(-73.9854, 40.73731)","(-73.98497, 40.73791)","(-73.98497, 40.73791)","(-73.98567, 40.73821)","(-73.98641, 40.73853)","(-73.98688, 40.73872)","(-73.98727, 40.73887)","(-73.98737, 40.73892)","(-73.98956, 40.73985)","(-73.98969, 40.73991)","(-73.99053, 40.74025)","(-73.99374, 40.74161)","(-73.99551, 40.74237)","(-73.99658, 40.74282)","(-73.99942, 40.74401)","(-73.99942, 40.74401)","(-73.99898, 40.74463)","(-73.99873, 40.74497)","(-73.99848, 40.7453)","(-73.99801, 40.74595)","(-73.9978, 40.74623)","(-73.99755, 40.74658)","(-73.9971, 40.7472)","(-73.99665, 40.74782)","(-73.9962, 40.74843)","(-73.99575, 40.74905)","(-73.9953, 40.74967)","(-73.99505, 40.75001)","(-73.99485, 40.75028)","(-73.99436, 40.75094)","(-73.99418, 40.7512)","(-73.99395, 40.75151)","(-73.99365, 40.75193)","(-73.99356, 40.75205)","(-73.99345, 40.75219)","(-73.99336, 40.75231)","(-73.99304, 40.75276)","(-73.99298, 40.75286)","(-73.99253, 40.75347)","(-73.99208, 40.75409)","(-73.99163, 40.75471)","(-73.99118, 40.75533)","(-73.99072, 40.75595)","(-73.99028, 40.75657)","(-73.98979, 40.75723)","(-73.9893, 40.75791)","(-73.98914, 40.75813)","(-73.98884, 40.75854)","(-73.98838, 40.75916)","(-73.98793, 40.75979)","(-73.98746, 40.76041)","(-73.98702, 40.76104)","(-73.98656, 40.76166)","(-73.98611, 40.76229)","(-73.98565, 40.76292)","(-73.98519, 40.76354)","(-73.98474, 40.76417)","(-73.98429, 40.7648)","(-73.98399, 40.7652)","(-73.98382, 40.76542)","(-73.98337, 40.76605)","(-73.98337, 40.76605)","(-73.98203, 40.76549)","(-73.98171, 40.76534)","(-73.98054, 40.76485)","(-73.97946, 40.7644)","(-73.9777, 40.76365)","(-73.97753, 40.76359)","(-73.97662, 40.76321)","(-73.97479, 40.76244)","(-73.97446, 40.7623)","(-73.97343, 40.76187)","(-73.97289, 40.76164)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"(-73.96756, 40.75939)","(-73.96598, 40.75872)","(-73.96579, 40.75863)","(-73.96579, 40.75863)","(-73.96624, 40.758)","(-73.96624, 40.758)","(-73.96804, 40.75876)","(-73.9683, 40.75889)","(-73.9685, 40.75897)","(-73.96864, 40.75904)","(-73.96993, 40.75959)","(-73.97009, 40.75963)","(-73.97117, 40.7601)","(-73.9716, 40.76028)","(-73.97179, 40.76035)","(-73.97335, 40.76102)","(-73.97335, 40.76102)","(-73.97291, 40.76162)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"(-73.96756, 40.75939)","(-73.96598, 40.75872)","(-73.96579, 40.75863)","(-73.96579, 40.75863)","(-73.96624, 40.758)","(-73.96624, 40.758)","(-73.96804, 40.75876)","(-73.9683, 40.75889)","(-73.9685, 40.75897)","(-73.96864, 40.75904)","(-73.96993, 40.75959)","(-73.97009, 40.75963)","(-73.97117, 40.7601)","(-73.9716, 40.76028)","(-73.97179, 40.76035)","(-73.97335, 40.76102)","(-73.97335, 40.76102)","(-73.97291, 40.76162)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"(-73.9851, 40.76368)","(-73.98474, 40.76417)","(-73.98429, 40.7648)","(-73.98399, 40.7652)","(-73.98382, 40.76542)","(-73.98337, 40.76605)","(-73.98337, 40.76605)","(-73.98203, 40.76549)","(-73.98171, 40.76534)","(-73.98054, 40.76485)","(-73.97946, 40.7644)","(-73.9777, 40.76365)","(-73.97753, 40.76359)","(-73.97662, 40.76321)","(-73.97479, 40.76244)","(-73.97446, 40.7623)","(-73.97343, 40.76187)","(-73.97289, 40.76164)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
