,ZipCode,Population,HouseholdsPerZipCode,PersonsPerHousehold,AverageHouseValue,IncomePerHousehold,Latitude,Longitude,Elevation,State,StateFullName,City,CountyName,CBSAType,CBSAName,MSAName,PMSA_Name,Region,Division,popden,Unnamed: 20,electricity (kWh),Nat. Gas (cu.ft.),FUELOIL (gallons),Vehicle miles traveled,Unnamed: 25,Transport (tCO2e/yr),Housing (tCO2e/yr),Food (tCO2e/yr),Goods (tCO2e/yr),Services (tCO2e/yr),Total (tCO2e/yr)
1573,6390,289,625,2.09,270600,50521,41.25,-72.02,25,NY,New York,FISHERS ISLAND,SUFFOLK,Metro,"New York-Northern New Jersey-Long Island, NY-NJ-PA",New York-Northern New Jersey-Long Island,"Nassau-Suffolk, NY PMSA",Northeast,Middle Atlantic,71.3103611981,,7169.39884166,7169.39884166,7169.39884166,12535,,9.85152198002,15.9596856459,6.27,5.54069368791,6.47450476395,44.0964060778
2287,10001,17310,9806,1.72,1000001,40932,40.750133,-73.997006,54,NY,New York,NEW YORK,NEW YORK,Metro,"New York-Northern New Jersey-Long Island, NY-NJ-PA",New York-Northern New Jersey-Long Island,"New York, NY PMSA",Northeast,Middle Atlantic,26241.0293881,,4204.52400574,4204.52400574,4204.52400574,4997,,4.90898004812,8.28110163445,5.16,4.81162546974,5.62799663173,28.789703784
2288,10002,84870,32965,2.65,178100,24022,40.715794,-73.988228,54,NY,New York,NEW YORK,NEW YORK,Metro,"New York-Northern New Jersey-Long Island, NY-NJ-PA",New York-Northern New Jersey-Long Island,"New York, NY PMSA",Northeast,Middle Atlantic,90244.7038258,,4816.48922421,4816.48922421,4816.48922421,5494,,4.28151886833,8.50019683892,7.95,4.06002492022,4.21277715648,29.0045177839
2289,10003,53673,31154,1.6,1000001,60891,40.731323,-73.990092,54,NY,New York,NEW YORK,NEW YORK,Metro,"New York-Northern New Jersey-Long Island, NY-NJ-PA",New York-Northern New Jersey-Long Island,"New York, NY PMSA",Northeast,Middle Atlantic,95393.05893,,4341.87065313,4341.87065313,4341.87065313,4690,,5.56389024067,8.33539526885,4.8,6.04818877447,7.34914904605,32.09662333
2290,10004,1225,779,1.79,181900,101868,40.703871,-74.012185,54,NY,New York,NEW YORK,NEW YORK,Metro,"New York-Northern New Jersey-Long Island, NY-NJ-PA",New York-Northern New Jersey-Long Island,"New York, NY PMSA",Northeast,Middle Atlantic,2134.63723365,,4956.38426942,4956.38426942,4956.38426942,8724,,9.63140578842,6.99308360814,5.37,8.78578205914,10.911660852,41.6919323077
2291,10005,884,562,1.64,148200,79517,40.705599,-74.009024,54,NY,New York,NEW YORK,NEW YORK,Metro,"New York-Northern New Jersey-Long Island, NY-NJ-PA",New York-Northern New Jersey-Long Island,"New York, NY PMSA",Northeast,Middle Atlantic,12175.1346289,,4558.9371547,4558.9371547,4558.9371547,7022,,7.67995542023,5.75024394152,4.92,7.34584310732,8.97622077145,34.6722632405
2292,10006,1447,978,1.67,187500,81334,40.708135,-74.013363,54,NY,New York,NEW YORK,NEW YORK,Metro,"New York-Northern New Jersey-Long Island, NY-NJ-PA",New York-Northern New Jersey-Long Island,"New York, NY PMSA",Northeast,Middle Atlantic,22107.8041924,,4637.10377405,4637.10377405,4637.10377405,7510,,8.05720079451,6.23017604697,5.01,7.4587460536,9.13295667004,35.8890795651
2293,10007,3522,1333,1.91,570000,112947,40.713515,-74.008038,54,NY,New York,NEW YORK,NEW YORK,Metro,"New York-Northern New Jersey-Long Island, NY-NJ-PA",New York-Northern New Jersey-Long Island,"New York, NY PMSA",Northeast,Middle Atlantic,19238.7528132,,5369.05950018,5369.05950018,5369.05950018,8795,,10.1364532637,7.95803041479,5.73,9.48169454093,11.8684333156,45.174611535
2294,10009,58595,30199,1.98,198400,40176,40.72632,-73.980106,54,NY,New York,NEW YORK,NEW YORK,Metro,"New York-Northern New Jersey-Long Island, NY-NJ-PA",New York-Northern New Jersey-Long Island,"New York, NY PMSA",Northeast,Middle Atlantic,101144.27062,,4606.81906001,4606.81906001,4606.81906001,6253,,5.58202943054,8.31433390215,5.94,4.85609171164,5.57606579082,30.2685208352
2295,10010,26408,16648,1.63,875000,62467,40.73929,-73.984952,54,NY,New York,NEW YORK,NEW YORK,Metro,"New York-Northern New Jersey-Long Island, NY-NJ-PA",New York-Northern New Jersey-Long Island,"New York, NY PMSA",Northeast,Middle Atlantic,71341.7368612,,4507.31162519,4507.31162519,4507.31162519,5898,,6.36072259878,7.64885489972,4.89,6.16351358366,7.48762306363,32.5507141458
2296,10011,46669,30277,1.55,1000001,61986,40.739668,-74.000765,54,NY,New York,NEW YORK,NEW YORK,Metro,"New York-Northern New Jersey-Long Island, NY-NJ-PA",New York-Northern New Jersey-Long Island,"New York, NY PMSA",Northeast,Middle Atlantic,72847.3513247,,4325.40921411,4325.40921411,4325.40921411,5096,,5.87162338891,8.49892671844,4.65,6.10051180659,7.4413216734,32.5623835873
2297,10012,26000,14625,1.76,987500,58313,40.725284,-73.997725,54,NY,New York,NEW YORK,NEW YORK,Metro,"New York-Northern New Jersey-Long Island, NY-NJ-PA",New York-Northern New Jersey-Long Island,"New York, NY PMSA",Northeast,Middle Atlantic,81345.072053,,4478.8120306,4478.8120306,4478.8120306,5282,,5.78092582485,8.29236707495,5.28,5.94011546137,7.13433873583,32.427747097
2298,10013,25042,11230,2.24,708300,38304,40.719938,-74.005012,54,NY,New York,NEW YORK,NEW YORK,Metro,"New York-Northern New Jersey-Long Island, NY-NJ-PA",New York-Northern New Jersey-Long Island,"New York, NY PMSA",Northeast,Middle Atlantic,45824.8547044,,4803.06459707,4803.06459707,4803.06459707,4738,,4.50568719504,8.37025194566,6.72,4.82901778628,5.42754900973,29.8525059367
2299,10014,32667,21597,1.55,1000001,66601,40.7347,-74.0059,54,NY,New York,NEW YORK,NEW YORK,Metro,"New York-Northern New Jersey-Long Island, NY-NJ-PA",New York-Northern New Jersey-Long Island,"New York, NY PMSA",Northeast,Middle Atlantic,57780.1675726,,4447.89331553,4447.89331553,4447.89331553,5826,,6.50828147067,8.28813948259,4.65,6.39635219362,7.84073396188,33.6835071087
2300,10016,51217,33203,1.56,1000001,66342,40.745257,-73.979114,54,NY,New York,NEW YORK,NEW YORK,Metro,"New York-Northern New Jersey-Long Island, NY-NJ-PA",New York-Northern New Jersey-Long Island,"New York, NY PMSA",Northeast,Middle Atlantic,94166.5532876,,4409.72920167,4409.72920167,4409.72920167,5443,,6.25975454434,7.64818758209,4.68,6.38332342349,7.81883757475,32.7901031247
2301,10017,16201,12696,1.47,1000001,69273,40.752193,-73.974223,54,NY,New York,NEW YORK,NEW YORK,Metro,"New York-Northern New Jersey-Long Island, NY-NJ-PA",New York-Northern New Jersey-Long Island,"New York, NY PMSA",Northeast,Middle Atlantic,49680.62238,,4075.73141151,4075.73141151,4075.73141151,5281,,6.30263454419,7.64898050697,4.41,6.53904481013,8.06783298371,32.968492845
2302,10018,4255,2299,1.9,294300,48705,40.754996,-73.993461,54,NY,New York,NEW YORK,NEW YORK,Metro,"New York-Northern New Jersey-Long Island, NY-NJ-PA",New York-Northern New Jersey-Long Island,"New York, NY PMSA",Northeast,Middle Atlantic,14487.6216807,,4372.75681075,4372.75681075,4372.75681075,5903,,5.74792916053,8.54103242203,5.7,5.35637104891,6.30747207007,31.6528047015
2303,10019,36012,26090,1.59,112500,55869,40.765063,-73.986532,54,NY,New York,NEW YORK,NEW YORK,Metro,"New York-Northern New Jersey-Long Island, NY-NJ-PA",New York-Northern New Jersey-Long Island,"New York, NY PMSA",Northeast,Middle Atlantic,48799.3267937,,4265.79819377,4265.79819377,4265.79819377,3506,,4.63408866208,7.91832000986,4.77,5.72268383194,6.91399314815,29.959085652
